,symbol,open_date,close_date,open_price,close_price,position_size,exit_reason,profit_loss,change_pct,trade_commission,cumulative_return
105,6409,2021-01-05,2021-02-25,1105.0,1215.0,9037,Low prediction,994070.0,9.954751131221728,62816.187,970089623.4599761
106,6409,2021-01-05,2021-02-25,1105.0,1215.0,8984,Low prediction,988240.0,9.954751131221728,62447.784,971015415.675976
107,6409,2021-01-06,2021-02-25,1090.0,1215.0,9182,Low prediction,1147750.0,11.46788990825689,63627.81675,972099537.859226
108,1590,2021-01-07,2021-02-25,985.0,1000.0,9419,Low prediction,141285.0,1.522842639593902,54899.818875,972185923.040351
109,1590,2021-01-12,2021-02-25,1015.0,1000.0,9612,Low prediction,-144180.0,-1.4778325123152691,56435.6565,971985307.383851
110,1590,2021-01-19,2021-02-25,1120.0,1000.0,8060,Low prediction,-967200.0,-10.71428571428571,48529.26,970969578.1238511
111,1590,2021-01-20,2021-02-25,1160.0,1000.0,7989,Low prediction,-1278240.0,-13.793103448275868,48557.142,969642780.9818511
112,1590,2021-01-21,2021-02-25,1145.0,1000.0,8400,Low prediction,-1218000.0,-12.66375545851528,50875.65,968373905.3318511
113,1590,2021-01-22,2021-02-25,1155.0,1000.0,8607,Low prediction,-1334085.0,-13.41991341991342,52252.021125,966987568.3107262
114,1590,2021-01-26,2021-02-25,1145.0,1000.0,8343,Low prediction,-1209735.0,-12.66375545851528,50530.422375,965727302.8883512
115,1590,2021-01-28,2021-02-25,1140.0,1000.0,6239,Low prediction,-873460.0,-12.28070175438597,37742.8305,964816100.0578512
116,1590,2021-01-29,2021-02-25,1105.0,1000.0,8748,Low prediction,-918540.0,-9.502262443438914,52484.7195,963845075.3383512
117,1590,2021-02-02,2021-02-25,1005.0,1000.0,9926,Low prediction,-49630.0,-0.497512437810943,58137.82275,963737307.5156013
118,1590,2021-02-03,2021-02-25,1060.0,1000.0,9093,Low prediction,-545580.0,-5.660377358490565,53971.5015,963137756.0141013
119,1590,2021-02-05,2021-02-25,1045.0,1000.0,9289,Low prediction,-418005.0,-4.30622009569378,54936.307125,962664814.7069763
120,2330,2021-01-05,2021-03-02,536.0,621.0,18630,Low prediction,1583550.0,15.858208955223873,65423.43675000001,964182941.2702262
121,2330,2021-01-12,2021-03-02,583.0,621.0,16734,Low prediction,635892.0,6.5180102915952,59885.965800000005,964758947.3044262
122,2330,2021-01-19,2021-03-02,618.0,621.0,14609,Low prediction,43827.0,0.4854368932038833,53009.852175,964749764.4522512
123,2330,2021-01-22,2021-03-02,649.0,621.0,15318,Low prediction,-428904.0,-4.314329738058554,56259.1845,964264601.2677512
124,2330,2021-02-03,2021-03-02,638.0,621.0,15109,Low prediction,-256853.0,-2.6645768025078342,55254.746175,963952493.5215762
125,2330,2021-02-17,2021-03-02,663.0,621.0,13723,Low prediction,-576366.0,-6.334841628959276,50674.922099999996,963325452.5994762
126,2317,2021-01-05,2021-03-04,101.0,115.5,98869,Low prediction,1433600.5,14.356435643564346,64760.430862500005,964694292.6686137
127,2354,2021-01-05,2021-03-04,55.6,71.4,179600,Low prediction,2837680.000000001,28.41726618705036,70973.43000000001,967460999.2386137
128,2317,2021-01-12,2021-03-04,106.5,115.5,91610,Low prediction,824490.0,8.450704225352123,60723.688500000004,968224765.5501137
129,2317,2021-01-19,2021-03-04,115.0,115.5,78505,Low prediction,39252.5,0.43478260869564966,52987.93106250001,968211030.1190512
130,2354,2021-01-19,2021-03-04,76.8,71.4,117557,Low prediction,-634807.799999999,-7.031249999999989,50006.984445,967526215.3346062
131,2317,2021-01-20,2021-03-04,116.5,115.5,79549,Low prediction,-79549.0,-0.8583690987124415,53862.62790000001,967392803.7067062
